Registration Number,UG Name of university,UGCGPA,Year of graduation,Employeed after graduation,Location of primary school,Location of secondary school,Disability,Fatherss highest level of education,Motherss highest level of education,Socio-economic level,Father occupation,Mother occupation,Electronic gadgets,Internet access at home,VT,QT,AT,OT
1017685,Addis Ababa University,3.81,2020,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Secondary Education,Same as,Addis Ababa,Addis Ababa,"Mobile phone with touch screen, ",Yes,52,38,23,113
1000399,Addis Ababa university,3.98,2020,No,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,Banker,house wife,"Mobile phone with touch screen, Mobile phone with touch screen, ",Yes,48,32,23,103
1016311,AASTU,3.43,2021,No,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,retired,teacher,"Mobile phone with touch screen, ",Yes,49,33,20,102
1032491,Addis Ababa University,3.75,2020,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Secondary Education,Same as,Elder,None,"Mobile phone with touch screen, ",Yes,48,34,20,102
1016650,Arba Minch Unviersity,3.64,2003,Yes,Tigray,Tigray,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,no occupation,no occupation,"Mobile phone with touch screen, ",No,48,37,16,101
1002816,AAU,3.89,2020,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,Managment,Secretary,"Mobile phone with touch screen, ",Yes,50,30,20,100
1040493,Addis Ababa University,3.12,2018,Yes,Addis Ababa,Addis Ababa,,Secondary Education,Secondary Education,Better than,Manager,Manager,"Mobile phone with touch screen, ",Yes,42,36,22,100
1013924,Addis Ababa Science and Technology University,3.45,2021,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,Trainer and Consultant,house wife,"Mobile phone with touch screen, Mobile phone with touch screen, ",Yes,46,35,19,100
1032466,Addis Ababa UNIVERSITY,3.4,2022,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Better than,Hydrological Engineer,Senior Nurse,"Mobile phone with touch screen, ",Yes,55,27,17,99
1016220,Addis Ababa Institute of Technology,2.5,2015,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,Accountant,Accountant,"Mobile phone with touch screen, ",Yes,48,30,21,99
1017658,Gondar University,3.22,2020,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,Accountant,Accountant,"Mobile phone with touch screen, ",Yes,48,31,20,99
1012615,ste Paulss Hospital Millennium Medical College,3.09,2017,Yes,Oromia,Oromia,,Primary Education,Primary Education,Same as,private,housewife,"Mobile phone with touch screen, ",Yes,48,27,23,98
1017417,AAU,3.57,2020,Yes,Addis Ababa,Addis Ababa,,Secondary Education,Primary Education,Same as,private buisness,housewife,"Mobile phone with touch screen, ",Yes,43,35,20,98
1012671,AAiT,2.7,2016,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,Deceased,Homemaker,"Mobile phone with touch screen, ",Yes,50,27,21,98
1040558,Addis Ababa University,2.7,2021,No,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,University Lecturer,Civil Servant,"Mobile phone with touch screen, ",Yes,40,37,21,98
1019955,Jimma University,3.81,2018 G.C,Yes,Oromia,Oromia,,Post Secondary,Post Secondary,Same as,Teacher,Teacher,"Mobile phone with touch screen, ",No,41,36,20,97
1085116,University of gondar,2.7,2009,Yes,Amhara,Amhara,,Post Secondary,Post Secondary,Same as,Teacher,Teacher,"Mobile phone with touch screen, ",Yes,41,40,16,97
1014765,Addis Ababa University,3.15,1997,Yes,Oromia,Oromia,,Primary Education,Primary Education,Better than,Farmer,House wife,"Mobile phone with touch screen, ",Yes,49,25,23,97
1002767,Addis Ababa Universty,2.73,2011,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,retired,Administrator,"Mobile phone with touch screen, ",Yes,49,28,20,97
1013820,mekelle,3.33,2011,Yes,Oromia,Oromia,,Post Secondary,Secondary Education,Same as,deceased,retired,"Mobile phone with touch screen, ",Yes,53,24,19,96
